-,train,Test
1,0.108,0.116
2,0.108,0.116
3,0.108,0.116
4,0.108,0.116
5,0.108,0.116
6,0.108,0.116
7,0.108,0.116
8,0.108,0.116
9,0.108,0.116
10,0.108,0.116
11,0.108,0.116
12,0.108,0.116
13,0.108,0.116
14,0.108,0.116
15,0.108,0.116
16,0.108,0.116
17,0.108,0.116
18,0.108,0.116
19,0.108,0.116
20,0.108,0.116
21,0.108,0.116
22,0.108,0.116
23,0.108,0.116
24,0.108,0.116
25,0.108,0.116
26,0.108,0.116
27,0.108,0.116
28,0.108,0.116
29,0.108,0.116
30,0.108,0.116
31,0.108,0.116
32,0.108,0.116
33,0.108,0.116
34,0.108,0.116
35,0.108,0.116
36,0.108,0.116
37,0.108,0.116
38,0.108,0.116
39,0.108,0.116
40,0.108,0.116
41,0.108,0.116
42,0.108,0.116
43,0.108,0.116
44,0.108,0.116
45,0.108,0.116
46,0.108,0.116
47,0.108,0.116
48,0.108,0.116
49,0.108,0.116
50,0.108,0.116
51,0.108,0.116
52,0.108,0.116
53,0.108,0.116
54,0.108,0.116
55,0.108,0.116
56,0.108,0.116
57,0.108,0.116
58,0.108,0.116
59,0.108,0.116
60,0.108,0.116
61,0.108,0.116
62,0.108,0.116
63,0.108,0.116
64,0.108,0.116
65,0.108,0.116
66,0.108,0.116
67,0.108,0.116
68,0.108,0.116
69,0.108,0.116
70,0.108,0.116
71,0.108,0.116
72,0.108,0.116
73,0.108,0.116
74,0.108,0.116
75,0.108,0.116
76,0.108,0.116
77,0.108,0.116
78,0.108,0.116
79,0.108,0.116
80,0.108,0.116
81,0.108,0.116
82,0.108,0.116
83,0.108,0.116
84,0.108,0.116
85,0.108,0.116
86,0.108,0.116
87,0.108,0.116
88,0.108,0.116
89,0.108,0.116
90,0.108,0.116
91,0.108,0.116
92,0.108,0.116
93,0.108,0.116
94,0.108,0.116
95,0.108,0.116
96,0.108,0.116
97,0.108,0.116
98,0.108,0.116
99,0.108,0.116
100,0.108,0.116
101,0.108,0.116
102,0.108,0.116
103,0.108,0.116
104,0.108,0.116
105,0.108,0.116
106,0.108,0.116
107,0.108,0.116
108,0.108,0.116
109,0.108,0.116
110,0.108,0.116
111,0.108,0.116
112,0.108,0.116
113,0.108,0.116
114,0.108,0.116
115,0.108,0.116
116,0.108,0.116
117,0.108,0.116
118,0.108,0.116
119,0.108,0.116
120,0.108,0.116
121,0.108,0.116
122,0.108,0.116
123,0.108,0.116
124,0.108,0.116
125,0.108,0.116
126,0.108,0.116
127,0.108,0.116
128,0.108,0.116
129,0.108,0.116
130,0.108,0.116
131,0.108,0.116
132,0.108,0.116
133,0.108,0.116
134,0.108,0.116
135,0.108,0.116
136,0.108,0.116
137,0.108,0.116
138,0.108,0.116
139,0.108,0.116
140,0.108,0.116
141,0.108,0.116
142,0.108,0.116
143,0.108,0.116
144,0.108,0.116
145,0.108,0.116
146,0.108,0.116
147,0.108,0.116
148,0.108,0.116
149,0.108,0.116
150,0.108,0.116
151,0.108,0.116
152,0.108,0.116
153,0.108,0.116
154,0.108,0.116
155,0.108,0.116
156,0.108,0.116
157,0.108,0.116
158,0.108,0.116
159,0.108,0.116
160,0.108,0.116
161,0.108,0.116
162,0.108,0.116
163,0.108,0.116
164,0.108,0.116
165,0.108,0.116
166,0.108,0.116
167,0.108,0.116
168,0.108,0.116
169,0.108,0.116
170,0.108,0.116
171,0.108,0.116
172,0.108,0.116
173,0.108,0.116
174,0.108,0.116
175,0.108,0.116
176,0.108,0.116
177,0.108,0.116
178,0.108,0.116
179,0.108,0.116
180,0.108,0.116
181,0.108,0.116
182,0.108,0.116
183,0.108,0.116
184,0.108,0.116
